Open,High,Low,Close,Volume
94582.76,94563.46,94591.13,94563.45,1.60963521
94563.46,94644.09,94651.68,94563.46,0.51333819
94644.09,94546.01,94644.09,94546.01,0.83255103
94546.01,94609.96,94658.49,94546.01,1.07193758
94609.97,94546.02,94741.86,94546.02,1.71016065
94546.01,94531.94,94546.02,94501.43,1.46505174
94531.93,94608.84,94608.86,94531.93,0.37793926
94594.54,94620.99,94620.99,94594.54,0.13615932
94621.0,94616.86,94621.0,94616.86,0.20928331
94616.86,94524.89,94616.86,94524.89,0.40140445
94524.89,94524.89,94524.9,94524.89,0.30274798
94524.89,94477.72,94550.58,94477.71,1.01826959
94477.72,94497.9,94543.92,94463.12,0.87527783
94497.89,94419.13,94523.91,94419.13,0.50813244
94419.14,94371.4,94440.05,94371.05,1.8516403
94371.41,94603.19,94673.61,94371.41,6.03623771
94603.18,94662.43,94709.41,94603.18,0.75263713
94662.43,94600.01,94675.16,94580.3,0.27186369
94600.01,94509.96,94600.01,94489.36,1.8145452
94509.96,94494.34,94517.1,94494.34,0.44514956
94494.34,94396.07,94494.35,94396.07,0.3993717
94396.08,94300.17,94396.08,94241.54,1.07631049
94300.18,94272.6,94300.19,94272.59,3.42403778
94272.6,94258.68,94315.97,94251.45,1.82482827
94258.69,94100.01,94258.69,94100.0,0.99959821
94100.02,94093.98,94145.4,94075.93,0.35651675
94093.98,94098.04,94145.73,94093.97,0.33882189
94098.05,94030.19,94104.87,94022.19,0.62168212
94030.2,94168.74,94196.24,94030.2,0.94708248
94168.73,94233.37,94271.3,94168.73,0.67938385
94233.37,94194.66,94291.49,94194.65,0.93744594
94194.66,94209.41,94209.42,94174.6,0.22760302
94209.42,94253.69,94279.21,94209.41,0.20667861
94253.69,94272.83,94290.27,94235.37,0.33788685
94272.85,94231.97,94272.85,94231.68,0.73044434
94231.98,94170.6,94248.6,94170.59,1.59577834
94170.6,94191.97,94191.97,94157.21,0.42961527
94191.97,94196.59,94229.65,94191.97,0.10492987
94196.58,94159.45,94196.59,94138.28,1.02373562
94159.46,94176.99,94176.99,94133.43,0.14183724
94177.0,94245.95,94245.95,94166.37,0.92484416
94236.78,94256.52,94284.98,94236.78,0.3485326
94256.52,94214.75,94280.88,94214.73,0.19978891
94214.74,94225.75,94225.75,94198.08,0.51812255
94225.75,94271.07,94272.49,94225.74,1.19443936
94267.14,94250.61,94267.14,94250.6,0.02140871
94250.6,94253.35,94264.56,94248.36,0.09249044
