2025-04-26 20:28:15,584 - INFO - 🔍 Analyzing BTCUSDT
2025-04-26 20:28:15,890 - INFO - Entered LONG at 93561.89, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,890 - INFO - Exited LONG at 93167.28 → Return: -0.42%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,890 - INFO - Entered LONG at 93178.79, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,891 - INFO - Exited LONG at 92956.85 → Return: -0.24%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,891 - INFO - Entered LONG at 92951.00, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,891 - INFO - Exited LONG at 92642.16 → Return: -0.33%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,891 - INFO - Entered LONG at 92864.34, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,891 - INFO - Exited LONG at 93062.81 → Return: 0.21%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,892 - INFO - Entered LONG at 93370.86, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,892 - INFO - Exited LONG at 93362.88 → Return: -0.01%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,893 - INFO - Entered LONG at 92059.41, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,893 - INFO - Exited LONG at 92982.61 → Return: 1.00%, Reason: take_profit, Capital: 10.00
2025-04-26 20:28:15,893 - INFO - Entered LONG at 93103.90, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,893 - INFO - Exited LONG at 93755.59 → Return: 0.70%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,893 - INFO - Entered LONG at 94094.19, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,894 - INFO - Exited LONG at 93852.04 → Return: -0.26%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,894 - INFO - Entered LONG at 93553.33, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,894 - INFO - Exited LONG at 93654.26 → Return: 0.11%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,894 - INFO - Entered LONG at 93590.77, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,894 - INFO - Exited LONG at 93503.89 → Return: -0.09%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,895 - INFO - Entered LONG at 93402.84, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,895 - INFO - Exited LONG at 93135.96 → Return: -0.29%, Reason: signal_flip, Capital: 10.00
